Species,id,Super_class,Order,Family,Genus,IUCN_Red_List_Category,Common_length,Maximum_length,Vertical_Distribution,Littoral,Continental_shelf,Continental_slope,Open_ocean,Habitat_soft,Habitat_rocky,Habitat_posidonia,Minimum_depth_m,Maximum_depth_m,Migration,Reproduction,Sex.reversal,Semelparity,Diet_type_Larvae,Behavior,Diet_type_Adult,Trophic_level,Vulnerability,Origin,LRFI,RedList,CryptoBenthic,NI,GF,commercial_level,SHarK,DP,B,Fishbase_link,all_commercial_level,highly_commercial_only,SSTmin,SSTmax,SSTmean,SSTmedian,SSS10th,SSS20th,SSS30th,SSS40th,SSS60th,SSS70th,SSS80th,SSS90th,mode,max_depth,m.cluster_core,TopPred,crypto_Brandl
Chlopsis bicolor,557,osteichthyen,Anguilliformes,Chlopsidae,Chlopsis,LC,36,42,Benthic,0,1,0,0,1,0,0,20,350,NA,Oviparous,no,no,Planktotrophic,NA,Carnivorous,3.7,21.79,U,1,0,0,0,1,,0,0,1,http://fishbase.org/summary/Chlopsis-bicolor.html,0,0,15.98900032,26.93600082,20.98426792,19.82450008,18.57570038,19.07439995,19.36000061,19.56780052,21.49520073,22.36499977,23.67500038,24.54599953,19.62199974,2.544068044,2,0,0
Chlorophthalmus agassizi,256,osteichthyen,Aulopiformes,Chlorophtalmidae,Chlorophthalmus,LC,17.5,20,Demersal,0,0,1,0,1,0,0,50,1000,no,Oviparous,Hermaphrodite,no,Planktotrophic,Gregarious,Carnivorous,3.7,40.13,U,0,0,0,0,0,,0,1,0,http://fishbase.org/summary/Chlorophthalmus-agassizi.html,0,0,4.481999874,32.15100098,23.55173311,26.37599945,15.16489992,19.36179962,21.4489994,24.70299911,27.07099915,27.65399933,28.05699921,28.43300056,27.86199951,3,0,0,0
Chromis chromis,257,osteichthyen,Perciformes,Pomacentridae,Chromis,LC,9,15,Demersal,1,0,0,0,0,1,1,5,15,no,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,3.8,35.46,U,0,0,0,0,2,non commercial,0,1,0,http://fishbase.org/summary/Chromis-chromis.html,0,0,11.52099991,30.43700027,21.58818325,20.57799911,17.8390007,18.94380035,19.43700027,19.97500038,21.48800087,22.40580025,26.33119965,27.75499916,27.96299934,1.176091259,1,0,0
Chromogobius quadrivittatus,59,osteichthyen,Perciformes,Gobiidae,Chromogobius,LC,5.5,6.6,Benthic,1,0,0,0,0,1,0,1,5,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,3.4,14.21,E,0,0,1,0,1,,0,0,1,http://fishbase.org/summary/Chromogobius-quadrivittatus.html,0,0,14.86600018,30.7689991,22.94686727,21.3939991,18.6079998,19.24200058,19.77529945,20.29440041,24.6420002,26.62400055,27.65399933,28.56399918,28.87999916,0.698970004,2,0,1
Chromogobius zebratus,60,osteichthyen,Perciformes,Gobiidae,Chromogobius,LC,5,6,Demersal,1,0,0,0,0,1,0,1,5,no,Oviparous,no,no,Leicitotrophic,Solitary,Carnivorous,3.2,12.01,E,0,0,0,0,2,,0,1,0,http://fishbase.org/summary/Chromogobius-zebratus.html,0,0,17.63500023,21.48399925,19.9130453,19.85350037,19.1420002,19.46739922,19.5890007,19.66300011,20.01259995,20.17570019,20.51280022,20.87999916,19.62400055,0.698970004,1,0,1
Citharus linguatula,258,osteichthyen,Pleuronectiformes,Citharidae,Citharus,LC,27.5,30,Benthic,0,1,1,0,0,1,0,20,40,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,4,37.19,U,1,0,0,0,1,,0,0,1,http://fishbase.org/summary/Citharus-linguatula.html,0,0,14.52000046,30.43700027,21.59073347,20.33200073,18.50870037,19.03000069,19.43300056,19.82999992,21.20000076,21.88199997,26.12000084,27.61100006,19.57999992,1.602059991,2,0,0
Clinitrachus argentatus,259,osteichthyen,Perciformes,Clinidae,Clinitrachus,LC,7.5,10,Benthic,1,0,0,0,0,1,1,0.5,1,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,3.5,10,U,0,0,1,0,1,,0,0,1,http://fishbase.org/summary/Clinitrachus-argentatus.html,0,0,15.77700043,22.6439991,19.51480217,19.58399963,18.0739994,18.62000084,18.97599983,19.31019974,19.81100082,20.05800056,20.31100082,21.05999947,19.57999992,0,2,0,0
Conger conger,260,osteichthyen,Anguilliformes,Congridae,Conger,LC,175,300,Benthic,0,1,1,0,1,1,0,5,100,Oceanodromous,Oviparous,no,yes,Planktotrophic,Solitary,Carnivorous,4.3,85.83,U,1,0,0,0,0,commercial,0,0,1,http://fishbase.org/summary/Conger-conger.html,0,0,3.207000017,31.3220005,17.86322915,18.95199966,8.579000473,10.27600002,11.44279995,15.40299988,20.25499916,23.00320015,26.03199959,27.67200089,28.20800018,2,0,0,0
Corcyrogobius liechtensteini,61,osteichthyen,Perciformes,Gobiidae,Corcyrogobius,LC,2.7,3,Benthic,1,0,0,0,0,1,0,5,20,no,Oviparous,no,no,Planktotrophic,Solitary,Omnivorous,3.1,10,E,0,0,1,0,4,non commercial,0,0,1,http://fishbase.org/summary/Corcyrogobius-liechtensteini.html,0,0,17.63500023,21.80599976,19.27751053,19.24100018,18.50799942,18.68499947,18.82470036,19.03559952,19.36000061,19.63329983,20.03899956,20.21999931,18.81999969,1.301029996,4,0,1
Coris julis,261,osteichthyen,Perciformes,Labridae,Coris,LC,22.5,28,Benthic,1,0,0,0,0,1,1,1,60,no,Oviparous,Protogynous,no,Planktotrophic,Both,Carnivorous,3.4,38.53,U,1,0,0,0,5,non commercial,0,0,1,http://fishbase.org/summary/Coris-julis.html,0,0,10.24800014,30.43700027,20.13016875,19.84600067,13.95640011,17.75759964,18.83719978,19.35300064,20.44099998,21.39500046,22.43700027,26.94260025,18.65999985,1.77815125,6,0,0
Coryogalops ocheticus,158,osteichthyen,Perciformes,Gobiidae,Coryogalops,EN,5,6.2,Demersal,1,0,0,0,1,1,1,1,5,Oceanodromous,Oviparous,no,no,Planktotrophic,NA,Carnivorous,3.2,11.53,L,0,1,0,1,2,,0,1,0,http://fishbase.org/summary/Coryogalops-ocheticus.html,0,0,27.32299995,30.49699974,28.96885479,29.11700058,28.05019951,28.61800003,28.75,28.90760078,29.23019981,29.30999947,29.40059929,29.58820038,28.72800064,0.698970004,1,0,1
Coryphaena equiselis,262,osteichthyen,Perciformes,Coryphaenidae,Coryphaena,LC,50,127,Pelagic,0,0,0,1,1,0,0,1,100,Oceanodromous,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,4.5,38.57,U,1,0,0,0,3,,0,1,0,http://fishbase.org/summary/Coryphaena-equiselis.html,0,0,5.795000076,32.85599899,26.25717152,27.06900024,22.15500069,24.15200043,25.45599937,26.36300087,27.63699913,28.07699966,28.69199944,29.34600067,27.87999916,2,3,1,0
Coryphaena hippurus,263,osteichthyen,Perciformes,Coryphaenidae,Coryphaena,LC,100,200,Pelagic,0,0,0,1,0,0,0,1,100,Oceanodromous,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,4.4,39.24,U,1,0,0,0,3,,0,1,0,http://fishbase.org/summary/Coryphaena-hippurus.html,0,0,-0.714999974,32.85599899,23.79512198,26.98399925,13.81599998,19.09600067,22.4810009,25.62199974,27.88500023,28.36199951,28.95599937,29.42700005,29.38400078,2,3,1,0
Coryphaenoides guentheri,570,osteichthyen,Gadiformes,Macrouridae,Coryphaenoides,LC,NA,48,Demersal,0,0,0,1,0,0,0,1200,2600,no,Oviparous,no,no,Planktotrophic,NA,Carnivorous,3.3,54.26,U,1,0,0,0,2,,0,1,0,http://fishbase.org/summary/Coryphaenoides-guentheri.html,0,0,12.12699986,23.4829998,18.35241798,19.31399918,13.42500019,15.10000038,16.77099991,18.46999931,19.91200066,20.3579998,21.02579918,21.84199905,20.00200081,3.414973348,1,0,0
Coryphoblennius galerita,264,osteichthyen,Perciformes,Blenniidae,Coryphoblennius,LC,8.5,10,Benthic,1,0,0,0,0,1,0,0.5,1,no,Oviparous,no,no,Planktotrophic,Solitary,Omnivorous,2.3,18.07,U,0,0,1,0,4,,0,0,1,http://fishbase.org/summary/Coryphoblennius-galerita.html,0,0,8.531999588,21.84900093,16.32632886,17.64599991,11.05849981,12.64999962,13.36699963,15.5369997,18.63599968,19.12249947,19.59399986,20.12999916,19.57799911,0,4,0,1
Crenidens crenidens,139,osteichthyen,Perciformes,Sparidae,Crenidens,LC,20,25,Demersal,1,0,0,0,1,1,1,1,10,no,Oviparous,no,no,Planktotrophic,Solitary,Omnivorous,2.8,34.94,L,1,0,0,1,17,,0,1,0,http://fishbase.org/summary/Crenidens-crenidens.html,0,0,18.62199974,32.15100098,27.43706381,27.87750053,25.08399963,26.27300072,26.74799919,27.2670002,28.45999908,28.83200073,29.06599998,29.23900032,29.0359993,1,0,0,0
Crystallogobius linearis,265,osteichthyen,Perciformes,Gobiidae,Crystallogobius,LC,4.3,4.7,Benthic,0,1,0,0,1,0,0,1,400,no,Oviparous,no,yes,Planktotrophic,Gregarious,Carnivorous,3.4,13.92,U,0,0,1,0,0,,0,0,1,http://fishbase.org/summary/Crystallogobius-linearis.html,0,0,5.577000141,20.00900078,12.32747973,11.06000042,9.956999779,10.20899963,10.39000034,10.70199966,11.77999973,12.86999989,13.90999985,18.19099998,10.33199978,2.602059991,0,0,1
Ctenolabrus rupestris,266,osteichthyen,Perciformes,Labridae,Ctenolabrus,LC,14,18,Benthic,1,0,0,0,0,1,1,5,20,no,Oviparous,Protogynous,no,Planktotrophic,Solitary,Carnivorous,3.6,32.5,U,0,0,0,0,5,non commercial,0,0,1,http://fishbase.org/summary/Ctenolabrus-rupestris.html,0,0,-0.114,21.80599976,12.56203542,11.30000019,7.164999962,9.086000443,10.10000038,10.56200027,13.03800011,15.37199974,18.47400093,19.37400055,10.33199978,1.301029996,6,0,0
Cubiceps capensis,608,osteichthyen,Perciformes,Nomeidae,Cubiceps,LC,30,100,Pelagic,0,0,0,1,0,0,0,1,3000,Oceanodromous,Oviparous,no,no,Planktotrophic,NA,Carnivorous,3.5,48.21,U,1,0,0,0,3,,0,1,0,http://fishbase.org/summary/Cubiceps-capensis.html,0,0,7.532999992,29.57900047,21.96675628,23.22100067,15.47900009,18.65200043,20.52499962,22.57639999,23.95700073,24.72299957,25.38199997,26.25300026,22.90699959,3.477121255,3,0,0
Cyclichthys spilostylus,138,osteichthyen,Tetraodontiformes,Diodontidae,Cyclichthys,NA,28,34,Demersal,1,0,0,0,0,1,0,2,90,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,3.5,18.08,L,1,0,0,1,2,,0,1,0,http://fishbase.org/summary/Cyclichthys-spilostylus.html,0,0,17.20700073,32.85599899,27.94570023,28.5720005,25.41200066,26.58799934,27.39500046,28.15699959,28.91799927,29.16399956,29.37800026,29.64900017,29.32600021,1.954242509,1,0,0
Cyclopterus lumpus,623,osteichthyen,Scorpaeniformes,Cyclopteridae,Cyclopterus,NA,25,60,Demersal,0,0,1,1,0,1,0,50,150,Oceanodromous,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,3.9,46.79,A,1,0,0,1,2,,0,1,0,http://fishbase.org/summary/Cyclopterus-lumpus.html,0,0,-0.972000003,30.43700027,8.785245385,8.680000305,0.453999996,1.368000031,2.539999962,6.092000008,10.06799984,11.00899982,13.87300014,19.93899918,1.228000045,2.176091259,28,0,0
Cyclothone braueri,521,osteichthyen,Stomiiformes,Gonostomatidae,Cyclothone,LC,2,3.8,Pelagic,0,0,0,1,0,0,0,250,900,no,Oviparous,no,no,Planktotrophic,NA,Carnivorous,3.1,24.39,U,0,0,0,0,3,,0,1,0,http://fishbase.org/summary/Cyclothone-braueri.html,0,0,-0.442000002,31.44400024,19.70914982,20.62999916,8.878000259,11.80839977,16.96999931,19.08799934,23.0739994,25.70740051,26.85099983,27.81599998,27.83399963,2.954242509,5,0,0
Cyclothone pygmaea,62,osteichthyen,Stomiiformes,Gonostomatidae,Cyclothone,LC,2,3,Pelagic,0,1,1,0,0,0,0,50,1000,Amphidromous,Oviparous,no,yes,Planktotrophic,Solitary,Carnivorous,3.4,10,E,0,0,0,0,0,,0,1,0,http://fishbase.org/summary/Cyclothone-pygmaea.html,0,0,15.98900032,22.17300034,19.76047778,19.63199997,18.62400055,19.02639961,19.27310066,19.47200012,19.90200043,20.20899963,20.60199928,21.41699982,19.57999992,3,0,0,0
Cynoglossus sinusarabici,140,osteichthyen,Pleuronectiformes,Cynoglossidae,Cynoglossus,LC,12,15,Benthic,0,1,0,0,1,0,0,5,15,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,3.3,17.07,L,0,0,0,1,1,,0,0,1,http://fishbase.org/summary/Cynoglossus-sinusarabici.html,0,0,21.53800011,30.49699974,26.02173902,26.86599922,22.20879974,22.43000031,22.72000008,25.94060059,27.4538002,28.49560051,28.94440002,29.29800034,22.34799957,1.176091259,2,0,0
Cynoponticus ferox,558,osteichthyen,Anguilliformes,Muraenesocidae,Cynoponticus,LC,55,200,Benthic,0,1,0,0,1,0,0,10,100,NA,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,3.6,76.55,U,1,0,0,0,1,,0,0,1,http://fishbase.org/summary/Cynoponticus-ferox.html,0,0,17.91600037,30.43700027,26.09015102,27.12299919,21.60079994,24.80900002,26.15999985,26.41500092,27.48399925,27.77099991,27.94300079,28.09000015,27.95599937,2,2,0,0
Dactylopterus volitans,267,osteichthyen,Scorpaeniformes,Dactylopteridae,Dactylopterus,LC,37.5,55,Benthic,0,1,0,0,1,0,0,15,50,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,3.7,30.57,U,1,0,0,0,1,,0,0,1,http://fishbase.org/summary/Dactylopterus-volitans.html,0,0,2.5,32.15100098,22.8053138,26.22599983,11.53249979,17.96699905,20.27199936,24.08399963,27.00900078,27.62100029,28.05400085,28.50699997,27.86199951,1.698970004,2,0,0
Dagetichthys lusitanicus,47,osteichthyen,Pleuronectiformes,Soleidae,Dagetichthys,NA,30,40,Demersal,1,1,0,0,1,0,0,5,60,no,Oviparous,no,no,Leicitotrophic,Solitary,Carnivorous,3.5,45.62,A,1,0,0,1,2,,0,1,0,http://fishbase.org/summary/Synaptura-lusitanica+lusitanica.html,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77815125,1,0,0
Dalatias licha,514,chondrichtyen,Squaliformes,Dalatiidae,Dalatias,VU,150,180,Demersal,0,1,1,0,0,1,0,300,700,no,Ovoviviparous,no,no,no,Both,Carnivorous,4.2,65.06,U,1,1,0,0,0,,1,1,0,http://fishbase.org/summary/Dalatias-licha.html,0,0,2.808000088,32.15100098,21.60360191,22.46899986,12.45199966,16.33699989,18.5909996,20.33600044,25.09199905,26.46999931,27.41399956,28.17099953,27.86199951,2.84509804,0,1,0
Dalophis imberbis,559,osteichthyen,Anguilliformes,Ophichthidae,Dalophis,NA,110,150,Benthic,1,0,0,0,1,0,0,20,80,NA,Oviparous,no,no,Planktotrophic,NA,Carnivorous,4,65.42,U,1,0,0,0,1,,0,0,1,http://fishbase.org/summary/Dalophis-imberbis.html,0,0,14.86600018,23.44799995,19.77160729,19.57799911,18.32600021,18.72520027,19.08200073,19.36000061,19.87800026,20.2670002,21.0510006,21.79000092,19.59000015,1.903089987,2,1,0
Dasyatis pastinaca,2060,chondrichtyen,Rajiformes,Dasyatidae,Dasyatis,VU,100,250,Demersal,1,0,0,0,1,0,0,5,200,no,Ovoviviparous,no,,,Solitary,Carnivorous,4,72.75,,1,1,0,0,NA,commercial,1,1,0,https://www.fishbase.de/summary/2060,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.301029996,0,1,0
Dasyatis marmorata,NA,chondrichtyen,Rajiformes,Dasyatidae,Dasyatis,DD,NA,60,Demersal,1,0,0,0,1,0,0,12,65,no,Ovoviviparous,no,,,Solitary,Carnivorous,3.6,28,,1,0,0,0,NA,,1,1,0,https://www.fishbase.se/summary/8964,0,0,20.6,28.1,26.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
Dasyatis tortonesei,63,chondrichtyen,Rajiformes,Dasyatidae,Dasyatis,DD,65,80,Benthic,0,1,0,0,1,0,0,5,200,Oceanodromous,Ovoviviparous,no,no,no,Gregarious,Carnivorous,4,59.38,E,1,0,0,0,10,,1,0,1,http://fishbase.org/summary/Dasyatis-tortonesei.html,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.301029996,13,1,0
Decapterus russelli,633,osteichthyen,Perciformes,Carangidae,Decapterus,LC,12,40,Demersal,1,0,0,0,1,0,0,1,100,no,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,3.7,23.83,L,1,0,0,1,2,,0,1,0,http://fishbase.org/summary/Decapterus-russelli.html,0,0,14.03999996,32.85599899,27.01081827,28.19000053,22.41399956,25.48800087,26.64599991,27.46199989,28.67399979,29.0189991,29.27000046,29.50900078,29.35000038,2,1,0,0
Deltentosteus collonianus,270,osteichthyen,Perciformes,Gobiidae,Deltentosteus,LC,6.5,7,Benthic,1,0,0,0,1,0,1,5,120,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,3.6,12.93,U,0,0,1,0,1,,0,0,1,http://fishbase.org/summary/Deltentosteus-collonianus.html,0,0,15.77700043,23.02199936,19.77678806,19.65699959,18.36800003,18.78700066,19.18499947,19.46299934,19.9447998,20.30200005,21.00399971,21.57299995,19.57999992,2.079181246,2,0,1
Deltentosteus quadrimaculatus,271,osteichthyen,Perciformes,Gobiidae,Deltentosteus,NA,7.5,9,Benthic,0,1,0,0,1,0,0,15,50,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,3.1,30.3,U,0,0,1,0,1,,0,0,1,http://fishbase.org/summary/Deltentosteus-quadrimaculatus.html,0,0,15.77700043,21.76799965,19.12312632,19.24600029,17.77499962,18.45000076,18.76600075,19.0510006,19.42700005,19.56100082,19.72599983,20.14100075,19.57999992,1.698970004,2,0,1
Dentex dentex,272,osteichthyen,Perciformes,Sparidae,Dentex,VU,60,100,Benthic,0,1,1,0,0,1,0,15,50,Oceanodromous,Oviparous,no,no,Leicitotrophic,Both,Carnivorous,4.5,66.3,U,1,1,0,0,1,commercial,0,0,1,http://fishbase.org/summary/Dentex-dentex.html,1,0,9.828000069,23.44799995,18.31610743,19.27300072,13.00399971,15.2869997,17.84799957,18.7689991,19.66699982,20.14999962,20.84399986,21.65299988,19.59000015,1.698970004,0,0,0
Dentex gibbosus,273,osteichthyen,Perciformes,Sparidae,Dentex,LC,67.5,100,Benthic,0,1,1,0,0,1,0,40,130,no,Oviparous,Protandrous,no,Planktotrophic,Gregarious,Carnivorous,4.1,59.52,U,1,0,0,0,0,,0,0,1,http://fishbase.org/summary/Dentex-gibbosus.html,0,0,15.16499996,30.43700027,22.57940851,21.26650047,19.10400009,19.5909996,20.02199936,20.4829998,21.99399948,25.63070011,27.29000092,27.87899971,19.57999992,2.113943352,0,0,0
Dentex macrophthalmus,274,osteichthyen,Perciformes,Sparidae,Dentex,LC,47.5,65,Benthic,0,1,0,0,1,1,0,50,150,Oceanodromous,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,3.5,33.42,U,1,0,0,0,1,,0,0,1,http://fishbase.org/summary/Dentex-macrophthalmus.html,0,0,13.59899998,30.43700027,22.07052934,20.70599937,18.55800056,19.22800064,19.60499954,20.05599976,21.62199974,24.36300087,26.46899986,27.7605999,19.57999992,2.176091259,2,0,0
Dentex maroccanus,275,osteichthyen,Perciformes,Sparidae,Dentex,LC,32.5,45,Benthic,1,0,0,0,0,1,0,50,100,Oceanodromous,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,3.9,52.48,U,1,0,0,0,1,,0,0,1,http://fishbase.org/summary/Dentex-maroccanus.html,0,0,14.86600018,30.31299973,20.79319186,20.17399979,18.59000015,19.06500053,19.47599983,19.82600021,20.66900063,21.43390007,21.86599922,24.37019939,19.57999992,2,0,0,0
Diaphus holti,541,osteichthyen,Myctophiformes,Myctophidae,Diaphus,LC,4.5,7,Pelagic,0,0,0,1,0,0,0,40,770,Oceanodromous,Oviparous,no,no,Planktotrophic,NA,Carnivorous,3.1,29.4,U,0,0,0,0,3,,0,1,0,http://fishbase.org/summary/Diaphus-holti.html,0,0,3.499000072,31.86700058,20.61033877,21.10199928,10.72059994,14.13399982,18.31200027,19.59199905,24.21299934,25.93199921,27.09300041,27.98399925,28.02199936,2.886490725,3,0,0
Diaphus metopoclampus,542,osteichthyen,Myctophiformes,Myctophidae,Diaphus,LC,5,8,Pelagic,0,0,0,1,0,0,0,90,1080,no,NA,no,no,NA,Solitary,Carnivorous,3.3,30.36,U,0,0,0,0,3,,0,1,0,http://fishbase.org/summary/Diaphus-metopoclampus.html,0,0,3.717999935,31.13599968,21.49721404,21.98699951,12.80000019,17.05699921,18.67499924,20.13999939,24.81800079,26.16500092,27.25600052,28.11800003,27.87000084,3.033423755,5,0,0
Diaphus rafinesquii,543,osteichthyen,Myctophiformes,Myctophidae,Diaphus,LC,5,9,Pelagic,0,0,0,1,0,0,0,40,1200,Oceanodromous,Oviparous,no,no,Planktotrophic,NA,Carnivorous,3.4,33.47,U,0,0,0,0,3,,0,1,0,http://fishbase.org/summary/Diaphus-rafinesquii.html,0,0,2.398000002,32.15100098,19.92734315,20.54199982,8.925000191,12.21800041,16.2689991,19.17099953,22.65500069,26.22500038,27.5720005,28.2159996,28.19599915,3.079181246,3,0,0
Dicentrarchus labrax,276,osteichthyen,Perciformes,Moronidae,Dicentrarchus,LC,80,110,Demersal,1,0,0,0,1,1,0,1,30,Oceanodromous,Oviparous,no,no,NA,Both,Carnivorous,3.5,69.14,U,1,0,0,0,2,highly commercial,0,1,0,http://fishbase.org/summary/Dicentrarchus-labrax.html,1,1,6.236999989,23.23800087,14.94998611,13.86800003,9.982999802,10.41800022,10.88799953,12.08520031,18.16019974,19.04000092,19.58200073,20.3939991,10.28199959,1.477121255,1,0,0
Dicentrarchus punctatus,277,osteichthyen,Perciformes,Moronidae,Dicentrarchus,LC,52.5,70,Demersal,1,0,0,0,1,1,1,1,10,Amphidromous,Oviparous,no,no,NA,NA,Carnivorous,3.9,66.87,U,1,0,0,0,2,,0,1,0,http://fishbase.org/summary/Dicentrarchus-punctatus.html,0,0,11.40100002,32.15100098,22.67889699,21.4090004,18.01109962,19.15699959,19.71329975,20.3579998,22.47360039,26.78169975,27.81999969,28.92000008,29.00399971,1,1,0,0
Dicologlossa cuneata,278,osteichthyen,Pleuronectiformes,Soleidae,Dicologlossa,LC,27.5,30,Demersal,0,1,0,0,1,0,0,10,100,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,3.3,31.32,U,1,0,0,0,2,,0,1,0,http://fishbase.org/summary/Dicologlossa-cuneata.html,0,0,6.640999794,30.43700027,19.64949937,19.51350021,12.87899971,15.52400017,17.85750008,18.94000053,20.20999908,21.33699989,24.77300072,27.30699921,19.39500046,2,1,0,0
Dicologlossa hexophthalma,27,osteichthyen,Pleuronectiformes,Soleidae,Dicologlossa,LC,18,22,Demersal,1,0,0,0,1,0,0,5,150,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,3.4,28.13,A,1,0,0,1,2,,0,1,0,http://fishbase.org/summary/Dicologlossa-hexophthalma.html,0,0,15.35099983,30.43700027,23.87614799,25.73800087,18.70499992,19.70800018,20.50839996,21.69559975,26.42399979,27.2946003,27.76399994,28.00799942,27.98600006,2.176091259,1,0,0
Didogobius bentuvii,64,osteichthyen,Perciformes,Gobiidae,Didogobius,DD,3.7,NA,Benthic,1,0,0,0,1,0,0,1,37,no,Oviparous,no,no,Planktotrophic,Solitary,Omnivorous,3.2,10,E,1,0,1,0,4,,0,0,1,http://fishbase.org/summary/Didogobius-bentuvii.html,0,0,18.49200058,26.8220005,22.11592793,20.29199982,19.33799934,19.72599983,19.94400024,20.11899948,22.29400063,25.23500061,25.60400009,26.10199928,20.33300018,1.568201724,4,0,1
Didogobius schlieweni,65,osteichthyen,Perciformes,Gobiidae,Didogobius,LC,4.5,5,Benthic,1,0,0,0,0,1,0,8,12,no,Oviparous,no,no,Planktotrophic,Solitary,Omnivorous,3.2,10,E,0,0,1,0,4,,0,0,1,http://fishbase.org/summary/Didogobius-schlieweni.html,0,0,17.63500023,21.80599976,19.27751053,19.24100018,18.50799942,18.68499947,18.82470036,19.03559952,19.36000061,19.63329983,20.03899956,20.21999931,18.81999969,1.079181246,4,0,1
Didogobius splechtnai,66,osteichthyen,Perciformes,Gobiidae,Didogobius,LC,3.25,3.5,Benthic,1,0,0,0,0,1,0,4,18,no,Oviparous,no,no,Planktotrophic,Solitary,Omnivorous,3.1,10,E,0,0,1,0,4,,0,0,1,http://fishbase.org/summary/Didogobius-splechtnai.html,0,0,17.65099907,21.80599976,19.19891516,19.18400002,18.51280022,18.67399979,18.77599907,18.95599937,19.32099915,19.46299934,19.84720078,20.11619949,18.64299965,1.255272505,4,0,1
Diodon hystrix,10,osteichthyen,Tetraodontiformes,Diodontidae,Diodon,LC,50,100,Demersal,1,0,0,0,0,1,0,5,25,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,3.7,48.2,A,1,0,0,1,2,,0,1,0,http://fishbase.org/summary/Diodon-hystrix.html,0,0,1.475000024,32.85599899,26.19100467,27.97200012,19.56299973,25.03199959,26.37700081,27.32900047,28.36700058,28.84600067,29.26600075,29.61199951,29.35000038,1.397940009,1,0,0
Diogenichthys atlanticus,544,osteichthyen,Myctophiformes,Myctophidae,Diogenichthys,LC,1.5,3,Pelagic,0,0,0,1,0,0,0,1,1050,Oceanodromous,Oviparous,no,no,Planktotrophic,NA,Carnivorous,3.1,13.52,U,0,0,0,0,3,,0,1,0,http://fishbase.org/summary/Diogenichthys-atlanticus.html,0,0,5.795000076,32.81999969,25.20072591,27.05900002,18.49300003,20.87199974,23.9279995,25.9279995,27.84300041,28.31599998,28.93199921,29.43899918,29.29599953,3.021189299,3,0,0
Diplecogaster bimaculata,280,osteichthyen,Gobiesociformes,Gobiesocidae,Diplecogaster,LC,4.25,6,Benthic,0,1,0,0,1,0,1,10,50,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,3.4,35.29,U,0,0,1,0,1,,0,0,1,http://fishbase.org/summary/Diplecogaster-bimaculata.html,0,0,5.890999794,21.76799965,13.80276977,12.33300018,10.08600044,10.43700027,10.83399963,11.42940006,13.30859985,16.37820015,19.03899956,19.60000038,10.39000034,1.698970004,2,0,1
Diplodus annularis,281,osteichthyen,Perciformes,Sparidae,Diplodus,LC,16.5,25,Benthic,1,0,0,0,1,0,1,1,20,Oceanodromous,Oviparous,Protandrous,no,Planktotrophic,Solitary,Carnivorous,3.6,26.96,U,1,0,0,0,0,commercial,0,0,1,http://fishbase.org/summary/Diplodus-annularis.html,0,0,11.52099991,28.47200012,19.61312769,19.6970005,15.77700043,18.44400024,18.96699905,19.35899925,20.11700058,20.69599915,21.42399979,21.96800041,19.26799965,1.301029996,0,0,0
Diplodus bellottii,11,osteichthyen,Perciformes,Sparidae,Diplodus,LC,15,20,Demersal,0,1,0,0,1,1,1,10,50,no,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,3.6,35.8,A,0,0,0,1,2,,0,1,0,http://fishbase.org/summary/Diplodus-bellottii.html,0,0,16.87599945,29.3010006,20.721322,20.30599976,18.55599976,18.94199944,19.31299973,19.98500061,20.65099907,20.98399925,21.62999916,24.87700081,20.11100006,1.698970004,1,0,0
